🛰IPv6央视卫视,#genre#
风云足球,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226984/index.m3u8
电视指南,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226987/index.m3u8
CGTN记录,https://livedoc.cgtn.com/500d/prog_index.m3u8
CGTN俄语,https://liveru.cgtn.com/1000r/prog_index.m3u8
CGTN法语,https://livefr.cgtn.com/1000f/prog_index.m3u8
CGTN西语,https://livees.cgtn.com/1000e/prog_index.m3u8
CGTN阿语,https://livear.cgtn.com/1000a/prog_index.m3u8
家庭理财,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001278/index.m3u8
财富天下,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001219/index.m3u8
中国天气,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001102/index.m3u8
内蒙古卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001068/index.m3u8
北京卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001029/index.m3u8
湖南卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001026/index.m3u8
东方卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001013/index.m3u8
四川卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001130/index.m3u8
天津卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001036/index.m3u8
安徽卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001037/index.m3u8
山东卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001028/index.m3u8
广东卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001032/index.m3u8
广西卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001224/index.m3u8
江苏卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001033/index.m3u8
江西卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001034/index.m3u8
河北卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001229/index.m3u8
河南卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001222/index.m3u8
浙江卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001023/index.m3u8
海南卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001183/index.m3u8
深圳卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001030/index.m3u8
湖北卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001027/index.m3u8
山西卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001070/index.m3u8
东南卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001201/index.m3u8
贵州卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001184/index.m3u8
辽宁卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001035/index.m3u8
重庆卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001129/index.m3u8
黑龙江卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001031/index.m3u8
宁夏卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001074/index.m3u8
陕西卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001067/index.m3u8
甘肃卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001298/index.m3u8
吉林卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001225/index.m3u8
云南卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001223/index.m3u8
三沙卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001185/index.m3u8
青海卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001082/index.m3u8
新疆卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001065/index.m3u8
西藏卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001072/index.m3u8
兵团卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001066/index.m3u8
厦门卫视,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000193/index.m3u8?fmmv6
北京纪实科教,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001231/index.m3u8
卡酷少儿,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001245/index.m3u8
上海新闻综合,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001014/index.m3u8
上海都市,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001015/index.m3u8
上海ICS外语,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001128/index.m3u8
纪实人文,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001019/index.m3u8
生活时尚,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001199/index.m3u8
七彩戏剧,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001308/index.m3u8
第一财经,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001017/index.m3u8
上海教育,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001268/index.m3u8
五星体育,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001018/index.m3u8
东方影视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001016/index.m3u8
东方财经,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001318/index.m3u8
欢笑剧场,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001193/index.m3u8
法治天地,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001195/index.m3u8
乐游,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001200/index.m3u8
都市剧场,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001203/index.m3u8
金色学堂,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001194/index.m3u8
哈哈炫动,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001232/index.m3u8
浙江公共新闻,http://hw-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8
浙江国际,http://hw-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科影视,http://hw-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江数码时代,http://hw-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生休闲,http://hw-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济生活,http://hw-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江频道,http://hw-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
海南少儿,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000323/index.m3u8?fmmv6
海南文旅,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000322/index.m3u8?fmmv6
海南公共,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000382/index.m3u8?fmmv6
海南自贸,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000320/index.m3u8?fmmv6
金鹰纪实,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001230/index.m3u8
金鹰卡通,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001098/index.m3u8
茶友频道,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001234/index.m3u8
快乐垂钓,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001235/index.m3u8
嘉佳卡通,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001227/index.m3u8
家庭理财,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001278/index.m3u8
财富天下,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001219/index.m3u8
中国天气,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001102/index.m3u8

🛰IPv6香港,#genre#
凤凰中文,https://cntv.sbs/tv/v6.php?id=test1
凤凰资讯,https://cntv.sbs/tv/v6.php?id=test2
凤凰香港,http://[2409:8087:2001:20:2800:0:df6e:eb1d]:80/ott.mobaibox.com/PLTV/1/224/3221228530/1.m3u8
CHC动作电影,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC家庭影院,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002085/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC高清电影,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
欢笑剧场4K,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002156/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
纯享4K,http://[2409:8087:2001:20:2800:0:df6e:eb11]/ott.mobaibox.com/PLTV/3/224/3221228242/index.m3u8
苏州4K,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
4K超高清电影,https://cntv.sbs/tv/v6.php?id=emdy4k_8000
黑莓电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8
精彩综艺,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226009/index.m3u8
苏州4K,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
斗鱼4K,http://epg.112114.xyz/douyu/9249162

央卫综合,#genre#
CCTV-1 综合,https://cntv.sbs/tv?auth=230927&id=cctv1
CCTV-2 财经,https://cntv.sbs/tv?auth=230927&id=cctv2
CCTV-3 综艺,https://cntv.sbs/tv?auth=230927&id=cctv3
CCTV-4 中文国际,https://cntv.sbs/tv?auth=230927&id=cctv4
CCTV-5 体育,https://cntv.sbs/tv?auth=230927&id=cctv5
CCTV-5+ 体育赛事,https://cntv.sbs/tv?auth=230927&id=cctv5p
CCTV-6 电影,https://cntv.sbs/tv?auth=230927&id=cctv6
CCTV-7 国防军事,https://cntv.sbs/tv?auth=230927&id=cctv7
CCTV-8 电视剧,https://cntv.sbs/tv?auth=230927&id=cctv8
CCTV-9 纪录,https://cntv.sbs/tv?auth=230927&id=cctv9
CCTV-10 科教,https://cntv.sbs/tv?auth=230927&id=cctv10
CCTV-11 戏曲,https://cntv.sbs/tv?auth=230927&id=cctv11
CCTV-12 社会与法,https://cntv.sbs/tv?auth=230927&id=cctv12
CCTV-13 新闻,https://cntv.sbs/tv?auth=230927&id=cctv13
CCTV-14 少儿,https://cntv.sbs/tv?auth=230927&id=cctv14
CCTV-15 音乐,https://cntv.sbs/tv?auth=230927&id=cctv15
CCTV-16 奥林匹克,https://cntv.sbs/tv?auth=230927&id=cctv16
CCTV-17 农业农村,https://cntv.sbs/tv?auth=230927&id=cctv17
CCTV-4K 超高清,https://cntv.sbs/tv?auth=230927&id=cctv4k
CCTV-16 4K,https://cntv.sbs/tv?auth=230927&id=cctv164k
北京卫视,https://cntv.sbs/tv?auth=230927&id=bjws
东方卫视,https://cntv.sbs/tv?auth=230927&id=dfws
天津卫视,https://cntv.sbs/tv?auth=230927&id=tjws
重庆卫视,https://cntv.sbs/tv?auth=230927&id=cqws
黑龙江卫视,https://cntv.sbs/tv?auth=230927&id=hljws
吉林卫视,https://cntv.sbs/tv?auth=230927&id=jlws
辽宁卫视,https://cntv.sbs/tv?auth=230927&id=lnws
内蒙古卫视,https://cntv.sbs/tv?auth=230927&id=nmws
宁夏卫视,https://cntv.sbs/tv?auth=230927&id=nxws
甘肃卫视,https://cntv.sbs/tv?auth=230927&id=gsws
青海卫视,https://cntv.sbs/tv?auth=230927&id=qhws
陕西卫视,https://cntv.sbs/tv?auth=230927&id=sxws
河北卫视,https://cntv.sbs/tv?auth=230927&id=hbws
山西卫视,https://cntv.sbs/tv?auth=230927&id=sxiws
山东卫视,https://cntv.sbs/tv?auth=230927&id=sdws
安徽卫视,https://cntv.sbs/tv?auth=230927&id=ahws
河南卫视,https://cntv.sbs/tv?auth=230927&id=hnws
湖北卫视,https://cntv.sbs/tv?auth=230927&id=hubws
湖南卫视,https://cntv.sbs/tv?auth=230927&id=hunws
江西卫视,https://cntv.sbs/tv?auth=230927&id=jxws
江苏卫视,https://cntv.sbs/tv?auth=230927&id=jsws
浙江卫视,https://cntv.sbs/tv?auth=230927&id=zjws
东南卫视,https://cntv.sbs/tv?auth=230927&id=dnws
厦门卫视,https://cntv.sbs/tv?auth=230927&id=xmws
广东卫视,https://cntv.sbs/tv?auth=230927&id=gdws
深圳卫视,https://cntv.sbs/tv?auth=230927&id=szws
广西卫视,https://cntv.sbs/tv?auth=230927&id=gxws
云南卫视,https://cntv.sbs/tv?auth=230927&id=ynws
贵州卫视,https://cntv.sbs/tv?auth=230927&id=gzws
四川卫视,https://cntv.sbs/tv?auth=230927&id=scws
康巴卫视,https://cntv.sbs/tv?auth=230927&id=kbws
新疆卫视,https://cntv.sbs/tv?auth=230927&id=xjws
兵团卫视,https://cntv.sbs/tv?auth=230927&id=btws
西藏卫视,https://cntv.sbs/tv?auth=230927&id=xzws
海南卫视,https://cntv.sbs/tv?auth=230927&id=hinws
三沙卫视,https://cntv.sbs/tv?auth=230927&id=ssws
海峡卫视,https://cntv.sbs/tv?auth=230927&id=hxws
北京纪实科教,https://cntv.sbs/tv?auth=230927&id=bjjskj
五星体育,https://cntv.sbs/tv?auth=230927&id=wxty
东方财经,https://cntv.sbs/tv?auth=230927&id=dfcj
第一财经,https://cntv.sbs/tv?auth=230927&id=dycj
哈哈炫动,https://cntv.sbs/tv?auth=230927&id=hhxd
法治天地,https://cntv.sbs/tv?auth=230927&id=fztd
欢笑剧场,https://cntv.sbs/tv?auth=230927&id=hxjc
都市剧场,https://cntv.sbs/tv?auth=230927&id=dsjc
上海新闻综合,https://cntv.sbs/tv?auth=230927&id=shxwzh
上海都市,https://cntv.sbs/tv?auth=230927&id=shds
上海ICS外语,https://cntv.sbs/tv?auth=230927&id=shics
纪实人文,https://cntv.sbs/tv?auth=230927&id=shjsrw
七彩戏剧,https://cntv.sbs/tv?auth=230927&id=qcxj
动漫秀场,https://cntv.sbs/tv?auth=230927&id=dmxc
劲爆体育,https://cntv.sbs/tv?auth=230927&id=jbty
新视觉,https://cntv.sbs/tv?auth=230927&id=xsj
生活时尚,https://cntv.sbs/tv?auth=230927&id=shss
金色学堂,https://cntv.sbs/tv?auth=230927&id=jspd
乐游,https://cntv.sbs/tv?auth=230927&id=qjs
魅力足球,https://cntv.sbs/tv?auth=230927&id=mlzq
上海教育,https://cntv.sbs/tv?auth=230927&id=shjy
浦东电视台,https://cntv.sbs/tv?auth=230927&id=pdtv
茶频道,https://cntv.sbs/tv?auth=230927&id=cpd
快乐垂钓,https://cntv.sbs/tv?auth=230927&id=klcd
金鹰纪实,https://cntv.sbs/tv?auth=230927&id=jyjs
金鹰卡通,https://cntv.sbs/tv?auth=230927&id=jykt
嘉佳卡通,https://cntv.sbs/tv?auth=230927&id=jjkt
财富天下,https://cntv.sbs/tv?auth=230927&id=cftx
CETV1,https://cntv.sbs/tv?auth=230927&id=cetv1
CETV2,https://cntv.sbs/tv?auth=230927&id=cetv2
CETV4,https://cntv.sbs/tv?auth=230927&id=cetv4
梨园频道,https://pi.0472.org/tv/hn.php?id=154
中国天气,https://cntv.sbs/tv?auth=230927&id=zgtq
福建综合,https://cntv.sbs/tv?auth=230927&id=fjzh
福建新闻,https://cntv.sbs/tv?auth=230927&id=fjxw
福建电视剧,https://cntv.sbs/tv?auth=230927&id=fjdsj
福建文体,https://cntv.sbs/tv?auth=230927&id=fjwt
福建少儿,https://cntv.sbs/tv?auth=230927&id=fjse
福建旅游,https://cntv.sbs/tv?auth=230927&id=fjly
福建经济,https://cntv.sbs/tv?auth=230927&id=fjjj
福建公共,https://cntv.sbs/tv?auth=230927&id=fjgg
福建教育,https://cntv.sbs/tv?auth=230927&id=fjjy
看天下精选,https://cntv.sbs/tv?auth=230927&id=ktxjx
华语影院,https://cntv.sbs/tv?auth=230927&id=hyyy
电竞天堂,https://cntv.sbs/tv?auth=230927&id=djtt
青春动漫,https://cntv.sbs/tv?auth=230927&id=qcdm
星光影院,https://cntv.sbs/tv?auth=230927&id=xgyy
谍战剧场,https://cntv.sbs/tv?auth=230927&id=dzjc
全球大片,https://cntv.sbs/tv?auth=230927&id=qqdp
热门剧场,https://cntv.sbs/tv?auth=230927&id=rmjc
热门综艺,https://cntv.sbs/tv?auth=230927&id=rmzy
戏曲精选,https://cntv.sbs/tv?auth=230927&id=xqjx
健康养生,https://cntv.sbs/tv?auth=230927&id=jkys
百变课堂,https://cntv.sbs/tv?auth=230927&id=bbkt
宝宝动画,https://cntv.sbs/tv?auth=230927&id=bbdh
翡翠台,https://pi.0472.org/tv/fct.php?auth=230927
明珠台,https://pi.0472.org/tv/mzt.php?auth=230927
澳视澳门,https://pi.0472.org/tv/asam.php?auth=230927
澳亚卫视,https://pi.0472.org/tv/aoya.php?auth=230927
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
RTHK32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream2/streamPlaylist.m3u8
莲花卫视,https://cntv.sbs/tv/lhws.php
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
CGTN,https://cntv.sbs/tv?auth=230927&id=cgtn
CGTN记录,https://livedoc.cgtn.com/500d/prog_index.m3u8
CGTN俄语,https://liveru.cgtn.com/1000r/prog_index.m3u8
CGTN法语,https://livefr.cgtn.com/1000f/prog_index.m3u8
CGTN西语,https://livees.cgtn.com/1000e/prog_index.m3u8
CGTN阿语,https://livear.cgtn.com/1000a/prog_index.m3u8
NHKWORLD,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index_4M.m3u8
亚洲新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index.m3u8
CNN,https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_4_1064000.m3u8
半岛新闻,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
Thai PBS 3,http://thaipbs-live.cdn.byteark.com/live/playlist_1080p/index.m3u8
Love Nature 4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
FASHIONTV,http://lb.streaming.sk/fashiontv/stream/chunklist_w1906011378.m3u8
金砖电视,http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8
亚洲新闻720P,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
亚洲新闻1080P,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
浙江公共新闻,http://hw-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8
浙江国际,http://hw-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科影视,http://hw-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江数码时代,http://hw-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生休闲,http://hw-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济生活,http://hw-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江频道,http://hw-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
北京文艺,https://cntv.sbs/tv/bj.php?id=wy
北京影视,https://cntv.sbs/tv/bj.php?id=ys
北京财经,https://cntv.sbs/tv/bj.php?id=cj
北京生活,https://cntv.sbs/tv/bj.php?id=sh
北京新闻,https://cntv.sbs/tv/bj.php?id=xw
内蒙古新闻综合,https://livestream-bt.nmtv.cn/nmtv/2316general.m3u8?txSecret=173f71025a2de64458989cfb281a0a37&txTime=771E8800
内蒙古经济生活,https://livestream-bt.nmtv.cn/nmtv/2317general.m3u8?txSecret=8e4b7cf6a2c8a75f74aef1a8a07cef43&txTime=771E8800
内蒙古少儿频道,https://livestream-bt.nmtv.cn/nmtv/2318general.m3u8?txSecret=ff5a1fd70ea228ee35b0d29895f37c56&txTime=771E8800
内蒙古文体娱乐,https://livestream-bt.nmtv.cn/nmtv/2319general.m3u8?txSecret=82ed51a2a4cbf85b62fec8ef2bfe4529&txTime=771E8800
内蒙古农牧频道,https://livestream-bt.nmtv.cn/nmtv/2320general.m3u8?txSecret=b5e44fcd9473993661f17746112ad1b7&txTime=771E8800
内蒙古蒙语卫视,https://livestream-bt.nmtv.cn/nmtv/2315general.m3u8?txSecret=e2b255285dd119a92c8aa5cdf00f8b84&txTime=771EF880
内蒙古蒙语文化,https://livestream-bt.nmtv.cn/nmtv/2321general.m3u8?txSecret=2250268a1d326dbbc4cbf0ba32649ca5&txTime=771E8800
日·QVC,http://cdn-live1.qvc.jp/iPhone/800/800.m3u8
韩·BBS佛教,http://bbstv.clouducs.com:1935/bbstv-live/livestream/chunklist_w1403706733.m3u8
韩·EBS-1,http://ebsonairios.ebs.co.kr/groundwavetablet500k/tablet500k/groundwavetablet500k.m3u8
韩·EBS-1,http://ebsonairios.ebs.co.kr/groundwavetablet500k/tablet500k/playlist.m3u8
韩·EBS-1,http://ebsonairios.ebs.co.kr/plus1tablet500k/tablet500k/plus1tablet500k.index.m3u8
韩·EBS-2,http://ebsonairios.ebs.co.kr/ebs2tablet500k/tablet500k/ebs2tablet500k.index.m3u8
韩·EBS-2,http://ebsonairios.ebs.co.kr/plus2tablet500k/tablet500k/plus2tablet500k.index.m3u8
韩·EBS少儿,http://ebsonairios.ebs.co.kr/ebsutablet500k/_definst_/tablet500k/chunklist_w1965791004.m3u8
韩·KBC,http://119.77.96.184:1935/chn05/chn05/chunklist_w644291506.m3u8
韩·SBS,http://1.245.74.5:1935/live/tv/.m3u8
韩·阿里郎,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
韩·阿里郎WORLD,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch/master.m3u8
韩·HotPlusTV,http://live.worktv.or.kr:1935/live/wowtvlive1.sdp/playlist.m3u8
VB,http://live.tv2bornholm.dk/stream/live/chunklist.m3u8
俄·IGITV蓝光,http://hls-igi.cdnvideo.ru/igi/igi_hq/playlist.m3u8
俄·RBC(Opt-1)[996*560],http://92.50.128.180/utv/1358/index.m3u8
美·NASA Public Channel,https://ntv1.akamaized.net/hls/live/2014075/NASA-NTV1-HLS/master_2000.m3u8
美·NASA Public Channel,https://ntv2.akamaized.net/hls/live/2013923/NASA-NTV2-HLS/master_2000.m3u8
美·红牛运动,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_1660.m3u8
美·红牛运动,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_928.m3u8
乌·M2音乐,http://live.m2.tv/hls3/stream.m3u8
西·加利西亚欧洲体育电视台,http://europa-crtvg.flumotion.com/playlist.m3u8
希·FoxTV,http://live.streams.ovh:1935/foxtv/foxtv/playlist.m3u8
越·HBTV,http://hoabinhtvlive.746b3ddb.cdnviet.com/hoabinhtv/playlist.m3u8
番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-mobile/playlist.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
ABC新闻,http://cms-wowza.lunabyte.io/wbrz-live-1/_definst_/smil:wbrz-live.smil/chunklist_b1300000.m3u8
NewsmaxTV,http://nmxlive.akamaized.net/hls/live/529965/Live_1/index.m3u8
PBSAmerica,https://pbs-samsunguk.amagi.tv/playlist.m3u8
moviesphere,https://moviesphere-samsung-samsungus.amagi.tv/playlist.m3u8
EdgeSport,https://edgesport-samsunguk.amagi.tv/playlist.m3u8
CanadaOne,http://cdn8.live247stream.com/canadaone/tv/playlist.m3u8
